project_id;committer;time;additions;deletions
6;4;1621;88;3
6;1;1622;8;3
6;5;1598;7;0
6;1;1596;70;31
6;3;1594;407;253
6;1;1626;19;6
6;3;1594;120;2
6;3;1593;42;0
6;1;1594;41;8
6;1;1582;1005;359
6;1;1582;291;173
6;1;1582;325;0
6;1;1584;83;107
6;7;1575;291;176
6;7;1594;41;8
6;1;1582;272;91
6;1;1575;481;341
6;4;1575;97;8
6;3;1574;122;24
6;1;1574;204;131
6;4;1574;52;0
6;1;1575;173;131
6;3;1573;409;7
6;7;1569;1467;216
6;7;1569;3;0
6;7;1569;1;1
6;1;1633;22;8
6;1;1556;278;40
6;1;1632;298;121
6;1;1625;128;68
6;1;1623;1;1
6;4;1574;0;2
6;3;1623;173;33
6;1;1621;468;107
6;1;1569;0;0
6;1;1620;344;20
6;1;1621;10;1
6;1;1620;164;32
6;1;1620;14;0
6;1;1620;15;2
6;3;1619;0;259
6;1;1620;1;0
6;3;1617;123;2
6;3;1617;3;0
6;3;1619;238;0
6;1;1600;272;105
6;1;1596;61;29
6;3;1600;65;42
6;1;1600;152;0
6;1;1595;685;34
6;1;1595;60;6
6;3;1598;115;0
6;1;1593;153;23
6;1;1593;12;5
6;1;1593;217;0
6;1;1593;6;5
6;1;1593;55;7
6;1;1584;153;23
6;1;1577;22;2
6;1;1593;291;183
6;1;1577;2;2
6;1;1579;169;6
6;1;1576;3;3
6;1;1583;72;0
6;1;1576;7;0
6;1;1577;22;2
6;1;1576;58;10
6;1;1576;3;2
6;1;1576;3;3
6;1;1575;270;0
6;1;1576;6;0
6;1;1575;53;21
6;1;1575;65;36
6;3;1574;6;6
6;3;1575;270;0
6;1;1573;12;5
6;1;1573;29;21
6;1;1573;99;58
6;1;1572;2006;267
6;1;1573;40;22
6;1;1576;3;3
6;1;1575;24;0
6;1;1572;192;125
6;1;1572;184;129
6;1;1572;13;0
6;1;1571;1985;175
6;3;1571;83;49
6;3;1571;83;58
6;1;1571;17;20
6;1;1571;1;1
6;1;1570;0;114
6;1;1570;864;266
6;7;1570;1101;47
6;1;1570;5;4
6;1;1570;255;0
6;1;1569;73;0
6;3;1571;22;10
6;1;1569;10;12
6;1;1568;200;99
6;1;1569;30;20
6;1;1568;189;68
6;1;1552;237;111
6;1;1552;66;0
6;1;1552;108;19
6;3;1623;36;9
6;1;1490;124;71
6;1;1622;187;128
6;3;1623;50;0
6;3;1623;102;75
6;1;1621;176;47
6;1;1623;50;43
6;3;1621;104;78
6;1;1621;954;36
6;1;1622;64;44
6;1;1619;358;85
6;1;1619;72;49
6;1;1621;118;58
6;3;1619;1;0
6;1;1570;24;34
6;1;1600;9;1
6;3;1619;127;9
6;1;1599;167;24
6;3;1599;46;0
6;1;1619;5;0
6;3;1599;73;0
6;1;1600;95;72
6;1;1598;441;45
6;1;1619;8;0
6;3;1598;78;0
6;1;1598;206;13
6;1;1597;98;5
